date,voltage,current,power,energy,frequency,powerfactor
25/02/2021,204.9,0.18,35.1,2.23,49.9,0.97
25/02/2021,205.8,0.18,35.5,2.24,50.1,0.97
25/02/2021,208.5,0.18,36.3,2.25,50,0.98
25/02/2021,206.8,0.18,35.7,2.26,50,0.98
25/02/2021,198.7,0.17,33.3,2.27,49.7,0.98
25/02/2021,193.9,0.17,31.8,2.28,49.8,0.98
25/02/2021,190.5,0.17,30.9,2.28,49.9,0.98
25/02/2021,186.4,0.16,29.8,2.29,49.9,0.97
25/02/2021,191.5,0.17,31.2,2.3,49.8,0.98
25/02/2021,190.6,0.17,31,2.31,50,0.97
25/02/2021,189.2,0.17,30.6,2.31,49.9,0.97
25/02/2021,191.7,0.17,31.3,2.32,49.9,0.98
25/02/2021,193.5,0.17,31.8,2.33,50,0.97
25/02/2021,193.7,0.17,31.9,2.34,50,0.97
25/02/2021,193.8,0.17,31.9,2.35,50,0.97
25/02/2021,190.6,0.17,31,2.35,49.9,0.97
25/02/2021,194.3,0.17,32,2.36,49.9,0.97
25/02/2021,189.9,0.17,30.7,2.37,49.9,0.97
25/02/2021,191.3,0.17,31.1,2.38,50,0.97
25/02/2021,188.7,0.17,30.4,2.38,49.8,0.98
25/02/2021,191.1,0.17,31.1,2.39,49.9,0.97
25/02/2021,193.7,0.17,31.9,2.4,49.9,0.97
25/02/2021,187.8,0.17,30.2,2.41,49.9,0.97
25/02/2021,193.7,0.17,31.8,2.42,50,0.98
25/02/2021,191,0.17,31.1,2.42,50,0.98
25/02/2021,192.5,0.17,31.6,2.43,49.9,0.98
25/02/2021,192,0.17,31.4,2.44,50,0.97
26/02/2021,193.5,0.17,31.8,2.45,49.9,0.98
26/02/2021,197.2,0.17,32.9,2.46,49.9,0.98
26/02/2021,188,0.17,30.3,2.46,50,0.98
26/02/2021,193,0.14,23.9,2.47,50,0.86
26/02/2021,192.7,0.14,23.6,2.48,50,0.86
26/02/2021,193.8,0.14,23.9,2.48,49.9,0.86
26/02/2021,192.2,0.14,23.6,2.49,50,0.86
26/02/2021,195.3,0.15,24.2,2.49,50,0.85
26/02/2021,188.7,0.14,22.7,2.5,50,0.85
26/02/2021,193.9,0.14,23.9,2.5,49.8,0.86
26/02/2021,192.7,0.14,23.6,2.51,50,0.86
26/02/2021,196.9,0.15,24.6,2.52,49.9,0.86
26/02/2021,195.3,0.15,24.2,2.52,50,0.85
26/02/2021,194.6,0.14,24,2.53,50,0.86
26/02/2021,196.7,0.15,24.5,2.54,50,0.85
26/02/2021,199.3,0.15,25.2,2.54,50,0.85
26/02/2021,198.2,0.15,24.9,2.55,49.9,0.85
26/02/2021,203,0.15,26,2.55,50,0.85
26/02/2021,201.3,0.15,25.6,2.56,49.9,0.85
26/02/2021,202.9,0.15,26,2.57,49.9,0.85
26/02/2021,199.2,0.15,25.1,2.57,50,0.86
26/02/2021,200.3,0.15,25.4,2.58,50,0.86
26/02/2021,199.5,0.15,25.2,2.59,50,0.85
26/02/2021,202.5,0.15,25.9,2.59,49.9,0.85
26/02/2021,201.3,0.15,25.6,2.6,49.9,0.85
26/02/2021,201.2,0.15,25.6,2.61,49.9,0.85
26/02/2021,202.4,0.15,25.9,2.61,50,0.85
26/02/2021,204.7,0.15,26.4,2.62,49.9,0.85
26/02/2021,203.1,0.15,26,2.62,49.9,0.85
26/02/2021,202,0.15,25.8,2.63,49.9,0.85
26/02/2021,202.8,0.15,26,2.64,50,0.85
26/02/2021,199,0.15,25.1,2.65,49.9,0.86
26/02/2021,196.1,0.15,24.4,2.65,50,0.85
26/02/2021,198,0.15,24.8,2.66,49.9,0.85
26/02/2021,198.6,0.15,25,2.66,49.9,0.86
26/02/2021,195.9,0.15,24.4,2.67,50,0.85
26/02/2021,196.4,0.15,24.5,2.68,50,0.85
26/02/2021,196.9,0.15,24.6,2.68,50,0.86
26/02/2021,198.4,0.15,24.9,2.69,49.9,0.85
26/02/2021,196.5,0.15,24.5,2.69,50,0.85
26/02/2021,199,0.15,25.1,2.7,49.9,0.85
26/02/2021,193.4,0.14,23.8,2.71,50,0.85
26/02/2021,196.2,0.15,24.4,2.71,50,0.85
26/02/2021,198.1,0.15,24.9,2.72,50,0.86
26/02/2021,197.7,0.15,24.7,2.73,49.9,0.86
26/02/2021,191.1,0.14,23.2,2.73,50,0.85
26/02/2021,188.2,0.17,30.3,2.74,50,0.98
26/02/2021,193.1,0.17,31.7,2.75,50.1,0.98
26/02/2021,194.8,0.17,32.2,2.75,50,0.98
26/02/2021,191.1,0.17,31.1,2.76,49.8,0.97
26/02/2021,195.1,0.17,32.2,2.77,49.9,0.98
26/02/2021,199.9,0.17,33.7,2.77,49.9,0.97
26/02/2021,199,0.17,33.4,2.78,50.1,0.98
26/02/2021,195.1,0.17,32.2,2.79,50,0.98
26/02/2021,196.4,0.17,32.6,2.8,50,0.98
26/02/2021,194.2,0.17,31.9,2.81,50,0.98
26/02/2021,193,0.17,31.6,2.81,50.1,0.97
26/02/2021,193.1,0.17,31.5,2.82,49.9,0.98
26/02/2021,192.2,0.17,31.3,2.83,50.1,0.98
26/02/2021,191.7,0.17,31.2,2.84,49.9,0.97
26/02/2021,194.3,0.17,32,2.85,50,0.97
26/02/2021,195,0.17,32.1,2.86,49.8,0.97
26/02/2021,194.3,0.17,31.9,2.87,49.9,0.97
26/02/2021,197.9,0.17,33,2.88,50,0.98
26/02/2021,196.9,0.17,32.7,2.88,49.9,0.98
26/02/2021,197.7,0.17,33,2.89,50,0.98
26/02/2021,200,0.17,33.7,2.9,50.1,0.97
26/02/2021,202.1,0.18,34.4,2.91,50.3,0.97
26/02/2021,204.5,0.18,35,2.92,49.9,0.98
26/02/2021,202.9,0.17,33.6,2.93,50,0.98
26/02/2021,198.1,0.17,32.2,2.94,50,0.98
26/02/2021,199.6,0.17,32.6,2.94,49.9,0.98
26/02/2021,190.4,0.16,29.9,2.95,49.8,0.98
26/02/2021,193.5,0.16,30.9,2.96,50,0.98
26/02/2021,182.4,0.16,27.7,2.97,49.9,0.97
